@relation vehicles.arff

@attribute makemodel {porsche_911,vw_golf_iv,opel_corsa}
@attribute feature0 numeric
@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute feature69 numeric
@attribute feature70 numeric
@attribute feature71 numeric
@attribute feature72 numeric
@attribute feature73 numeric
@attribute feature74 numeric
@attribute feature75 numeric
@attribute feature76 numeric
@attribute feature77 numeric
@attribute feature78 numeric
@attribute feature79 numeric
@attribute feature80 numeric
@attribute feature81 numeric
@attribute feature82 numeric
@attribute feature83 numeric
@attribute feature84 numeric
@attribute feature85 numeric
@attribute feature86 numeric
@attribute feature87 numeric
@attribute feature88 numeric
@attribute feature89 numeric
@attribute feature90 numeric
@attribute feature91 numeric
@attribute feature92 numeric
@attribute feature93 numeric
@attribute feature94 numeric
@attribute feature95 numeric
@attribute feature96 numeric
@attribute feature97 numeric
@attribute feature98 numeric
@attribute feature99 numeric
@attribute feature100 numeric
@attribute feature101 numeric
@attribute feature102 numeric
@attribute feature103 numeric
@attribute feature104 numeric
@attribute feature105 numeric
@attribute feature106 numeric
@attribute feature107 numeric
@attribute feature108 numeric
@attribute feature109 numeric
@attribute feature110 numeric
@attribute feature111 numeric
@attribute feature112 numeric
@attribute feature113 numeric
@attribute feature114 numeric
@attribute feature115 numeric
@attribute feature116 numeric
@attribute feature117 numeric
@attribute feature118 numeric
@attribute feature119 numeric
@attribute feature120 numeric
@attribute feature121 numeric
@attribute feature122 numeric
@attribute feature123 numeric
@attribute feature124 numeric
@attribute feature125 numeric
@attribute feature126 numeric
@attribute feature127 numeric
@attribute feature128 numeric
@attribute feature129 numeric
@attribute feature130 numeric
@attribute feature131 numeric
@attribute feature132 numeric
@attribute feature133 numeric
@attribute feature134 numeric
@attribute feature135 numeric
@attribute feature136 numeric
@attribute feature137 numeric
@attribute feature138 numeric
@attribute feature139 numeric
@attribute feature140 numeric
@attribute feature141 numeric
@attribute feature142 numeric
@attribute feature143 numeric
@attribute feature144 numeric
@attribute feature145 numeric
@attribute feature146 numeric
@attribute feature147 numeric
@attribute feature148 numeric
@attribute feature149 numeric

@data
opel_corsa,0.02597402597402598,0.003246753246753247,0.006493506493506494,0.0,0.0,0.006493506493506494,0.006493506493506494,0.003246753246753247,0.003246753246753247,0.003246753246753247,0.003246753246753247,0.0,0.019480519480519484,0.00974025974025974,0.0,0.003246753246753247,0.00974025974025974,0.003246753246753247,0.006493506493506494,0.00974025974025974,0.0,0.003246753246753247,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.006493506493506494,0.0,0.0,0.02272727272727273,0.00974025974025974,0.02272727272727273,0.006493506493506494,0.003246753246753247,0.012987012987012988,0.006493506493506494,0.0,0.00974025974025974,0.006493506493506494,0.00974025974025974,0.003246753246753247,0.006493506493506494,0.00974025974025974,0.003246753246753247,0.003246753246753247,0.016233766233766236,0.016233766233766236,0.0,0.0,0.016233766233766236,0.0,0.003246753246753247,0.003246753246753247,0.0,0.02272727272727273,0.03571428571428572,0.003246753246753247,0.00974025974025974,0.00974025974025974,0.00974025974025974,0.006493506493506494,0.003246753246753247,0.006493506493506494,0.006493506493506494,0.012987012987012988,0.003246753246753247,0.0,0.003246753246753247,0.003246753246753247,0.00974025974025974,0.0,0.003246753246753247,0.006493506493506494,0.003246753246753247,0.0,0.006493506493506494,0.00974025974025974,0.012987012987012988,0.003246753246753247,0.0,0.003246753246753247,0.00974025974025974,0.006493506493506494,0.0,0.006493506493506494,0.006493506493506494,0.006493506493506494,0.00974025974025974,0.0,0.02597402597402598,0.00974025974025974,0.006493506493506494,0.019480519480519484,0.003246753246753247,0.0,0.003246753246753247,0.003246753246753247,0.02597402597402598,0.00974025974025974,0.0,0.0,0.003246753246753247,0.012987012987012988,0.0,0.0,0.012987012987012988,0.0,0.003246753246753247,0.003246753246753247,0.003246753246753247,0.0,0.006493506493506494,0.00974025974025974,0.0,0.006493506493506494,0.016233766233766236,0.02597402597402598,0.0,0.003246753246753247,0.012987012987012988,0.003246753246753247,0.042207792207792215,0.012987012987012988,0.012987012987012988,0.006493506493506494,0.006493506493506494,0.0,0.0,0.0,0.003246753246753247,0.00974025974025974,0.0,0.00974025974025974,0.00974025974025974,0.0,0.003246753246753247,0.0,0.006493506493506494,0.0,0.012987012987012988,0.019480519480519484,0.029220779220779227,0.0,0.003246753246753247,0.0,0.0,0.012987012987012988,0.0
opel_corsa,0.025495750708215303,0.0056657223796034,0.022662889518413602,0.0028328611898017,0.0,0.0056657223796034,0.014164305949008499,0.0084985835694051,0.0198300283286119,0.0,0.0028328611898017,0.014164305949008499,0.0113314447592068,0.0084985835694051,0.0028328611898017,0.0,0.014164305949008499,0.0056657223796034,0.0,0.014164305949008499,0.0028328611898017,0.0056657223796034,0.0056657223796034,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0056657223796034,0.014164305949008499,0.0,0.0,0.03682719546742211,0.0056657223796034,0.0084985835694051,0.0056657223796034,0.0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0056657223796034,0.0,0.022662889518413602,0.0028328611898017,0.0084985835694051,0.0,0.0056657223796034,0.0028328611898017,0.0056657223796034,0.0113314447592068,0.0,0.0056657223796034,0.0056657223796034,0.0113314447592068,0.0,0.0028328611898017,0.0,0.0028328611898017,0.04532577903682721,0.0113314447592068,0.0028328611898017,0.0056657223796034,0.0084985835694051,0.0,0.0056657223796034,0.0,0.0028328611898017,0.014164305949008499,0.0,0.0,0.0028328611898017,0.0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0056657223796034,0.0,0.0113314447592068,0.0,0.0084985835694051,0.0084985835694051,0.0,0.0,0.0028328611898017,0.0084985835694051,0.0,0.0028328611898017,0.0028328611898017,0.0056657223796034,0.0,0.0113314447592068,0.0028328611898017,0.022662889518413602,0.014164305949008499,0.0084985835694051,0.0,0.0056657223796034,0.0,0.0028328611898017,0.0113314447592068,0.0084985835694051,0.0,0.0,0.0028328611898017,0.0028328611898017,0.0056657223796034,0.0028328611898017,0.0169971671388102,0.014164305949008499,0.0,0.0,0.0028328611898017,0.0056657223796034,0.0028328611898017,0.0113314447592068,0.0113314447592068,0.0056657223796034,0.0084985835694051,0.0028328611898017,0.03966005665722381,0.0,0.014164305949008499,0.0,0.0028328611898017,0.031161473087818706,0.0,0.0169971671388102,0.0056657223796034,0.0084985835694051,0.0,0.0,0.0028328611898017,0.0,0.0056657223796034,0.0113314447592068,0.0084985835694051,0.0028328611898017,0.0028328611898017,0.0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.014164305949008499,0.06798866855524081,0.0,0.0,0.0,0.0056657223796034,0.014164305949008499,0.0028328611898017
opel_corsa,0.037572254335260104,0.005780346820809248,0.03179190751445086,0.005780346820809248,0.011560693641618497,0.0,0.014450867052023121,0.011560693641618497,0.011560693641618497,0.0,0.005780346820809248,0.008670520231213872,0.005780346820809248,0.002890173410404624,0.0,0.002890173410404624,0.005780346820809248,0.0,0.0,0.002890173410404624,0.0,0.002890173410404624,0.017341040462427744,0.0,0.002890173410404624,0.0,0.0,0.005780346820809248,0.017341040462427744,0.020231213872832367,0.011560693641618497,0.020231213872832367,0.011560693641618497,0.0,0.008670520231213872,0.002890173410404624,0.0,0.014450867052023121,0.0,0.0,0.0,0.002890173410404624,0.0,0.017341040462427744,0.011560693641618497,0.002890173410404624,0.0,0.03179190751445086,0.020231213872832367,0.005780346820809248,0.0,0.017341040462427744,0.005780346820809248,0.011560693641618497,0.0,0.002890173410404624,0.005780346820809248,0.017341040462427744,0.0,0.014450867052023121,0.011560693641618497,0.0,0.0,0.0,0.005780346820809248,0.008670520231213872,0.008670520231213872,0.0,0.0,0.005780346820809248,0.011560693641618497,0.002890173410404624,0.0,0.0,0.002890173410404624,0.0,0.002890173410404624,0.002890173410404624,0.0,0.008670520231213872,0.002890173410404624,0.005780346820809248,0.002890173410404624,0.008670520231213872,0.0,0.005780346820809248,0.03179190751445086,0.005780346820809248,0.008670520231213872,0.005780346820809248,0.002890173410404624,0.03179190751445086,0.005780346820809248,0.008670520231213872,0.002890173410404624,0.0,0.002890173410404624,0.005780346820809248,0.002890173410404624,0.008670520231213872,0.011560693641618497,0.002890173410404624,0.0,0.014450867052023121,0.002890173410404624,0.0,0.0,0.005780346820809248,0.0,0.0,0.005780346820809248,0.008670520231213872,0.0,0.005780346820809248,0.005780346820809248,0.002890173410404624,0.0,0.002890173410404624,0.037572254335260104,0.0,0.0,0.005780346820809248,0.0,0.03179190751445086,0.005780346820809248,0.008670520231213872,0.014450867052023121,0.0,0.008670520231213872,0.002890173410404624,0.0,0.005780346820809248,0.005780346820809248,0.014450867052023121,0.0,0.02312138728323699,0.0,0.008670520231213872,0.002890173410404624,0.0,0.008670520231213872,0.014450867052023121,0.011560693641618497,0.011560693641618497,0.002890173410404624,0.002890173410404624,0.002890173410404624,0.0,0.008670520231213872,0.0
opel_corsa,0.010273972602739725,0.003424657534246575,0.0,0.0,0.010273972602739725,0.0,0.00684931506849315,0.0,0.010273972602739725,0.00684931506849315,0.003424657534246575,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.010273972602739725,0.003424657534246575,0.00684931506849315,0.0,0.003424657534246575,0.010273972602739725,0.003424657534246575,0.003424657534246575,0.003424657534246575,0.0,0.003424657534246575,0.02054794520547945,0.00684931506849315,0.0,0.023972602739726026,0.00684931506849315,0.02054794520547945,0.00684931506849315,0.010273972602739725,0.003424657534246575,0.0,0.0,0.003424657534246575,0.0,0.003424657534246575,0.0,0.003424657534246575,0.00684931506849315,0.010273972602739725,0.0,0.003424657534246575,0.0273972602739726,0.003424657534246575,0.0136986301369863,0.02054794520547945,0.003424657534246575,0.023972602739726026,0.0136986301369863,0.0,0.003424657534246575,0.04452054794520548,0.003424657534246575,0.017123287671232876,0.010273972602739725,0.00684931506849315,0.003424657534246575,0.003424657534246575,0.0136986301369863,0.0,0.010273972602739725,0.003424657534246575,0.0,0.0,0.0136986301369863,0.003424657534246575,0.003424657534246575,0.003424657534246575,0.0136986301369863,0.003424657534246575,0.0,0.017123287671232876,0.003424657534246575,0.00684931506849315,0.003424657534246575,0.00684931506849315,0.003424657534246575,0.003424657534246575,0.0,0.00684931506849315,0.0136986301369863,0.0,0.0,0.010273972602739725,0.017123287671232876,0.02054794520547945,0.02054794520547945,0.010273972602739725,0.00684931506849315,0.0,0.003424657534246575,0.0,0.0,0.0,0.017123287671232876,0.0,0.0,0.003424657534246575,0.0,0.003424657534246575,0.003424657534246575,0.010273972602739725,0.0,0.003424657534246575,0.02054794520547945,0.003424657534246575,0.0,0.0,0.003424657534246575,0.0,0.003424657534246575,0.0,0.04452054794520548,0.003424657534246575,0.003424657534246575,0.0136986301369863,0.003424657534246575,0.023972602739726026,0.003424657534246575,0.003424657534246575,0.017123287671232876,0.0,0.00684931506849315,0.0,0.0,0.00684931506849315,0.00684931506849315,0.0136986301369863,0.010273972602739725,0.0136986301369863,0.003424657534246575,0.0,0.0,0.0,0.0,0.017123287671232876,0.030821917808219176,0.0273972602739726,0.0,0.010273972602739725,0.0,0.0,0.00684931506849315,0.0
opel_corsa,0.02252252252252252,0.0045045045045045045,0.0,0.0,0.0,0.009009009009009009,0.0045045045045045045,0.0,0.018018018018018018,0.0,0.0,0.0,0.013513513513513514,0.02252252252252252,0.0,0.0,0.036036036036036036,0.0045045045045045045,0.0,0.018018018018018018,0.0045045045045045045,0.0,0.0045045045045045045,0.0,0.0045045045045045045,0.0045045045045045045,0.0,0.0045045045045045045,0.009009009009009009,0.009009009009009009,0.0,0.054054054054054064,0.0045045045045045045,0.0045045045045045045,0.0,0.0045045045045045045,0.009009009009009009,0.0,0.009009009009009009,0.0,0.0,0.013513513513513514,0.0045045045045045045,0.0,0.0045045045045045045,0.0,0.0045045045045045045,0.0045045045045045045,0.009009009009009009,0.0,0.0,0.0,0.02252252252252252,0.0,0.0,0.0,0.009009009009009009,0.07207207207207207,0.0045045045045045045,0.0045045045045045045,0.009009009009009009,0.0045045045045045045,0.009009009009009009,0.009009009009009009,0.0045045045045045045,0.0,0.013513513513513514,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.009009009009009009,0.018018018018018018,0.0,0.0,0.009009009009009009,0.0045045045045045045,0.02252252252252252,0.0,0.0,0.0,0.018018018018018018,0.0045045045045045045,0.0,0.009009009009009009,0.0045045045045045045,0.0,0.009009009009009009,0.0,0.0045045045045045045,0.0,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.0045045045045045045,0.009009009009009009,0.013513513513513514,0.009009009009009009,0.0,0.0045045045045045045,0.009009009009009009,0.0045045045045045045,0.0,0.0045045045045045045,0.0045045045045045045,0.0,0.0,0.0045045045045045045,0.0045045045045045045,0.0,0.009009009009009009,0.02252252252252252,0.0,0.0,0.0,0.04054054054054054,0.0,0.0,0.0045045045045045045,0.009009009009009009,0.009009009009009009,0.0045045045045045045,0.0,0.0,0.0045045045045045045,0.0,0.0045045045045045045,0.0,0.0045045045045045045,0.0045045045045045045,0.009009009009009009,0.0,0.018018018018018018,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,0.0,0.027027027027027025,0.02252252252252252,0.04504504504504505,0.018018018018018018,0.0,0.0045045045045045045,0.0045045045045045045,0.013513513513513514,0.0
opel_corsa,0.015151515151515152,0.0030303030303030303,0.006060606060606061,0.00909090909090909,0.006060606060606061,0.0,0.0030303030303030303,0.00909090909090909,0.0030303030303030303,0.0,0.0030303030303030303,0.0,0.015151515151515152,0.00909090909090909,0.0,0.0,0.00909090909090909,0.006060606060606061,0.0030303030303030303,0.01818181818181818,0.0,0.006060606060606061,0.0030303030303030303,0.0,0.0,0.0030303030303030303,0.0,0.012121212121212121,0.00909090909090909,0.012121212121212121,0.0030303030303030303,0.030303030303030297,0.0030303030303030303,0.00909090909090909,0.012121212121212121,0.0030303030303030303,0.012121212121212121,0.0,0.0030303030303030303,0.0,0.0030303030303030303,0.0,0.0030303030303030303,0.015151515151515152,0.0,0.0030303030303030303,0.0,0.012121212121212121,0.04242424242424241,0.0,0.0,0.027272727272727268,0.006060606060606061,0.00909090909090909,0.00909090909090909,0.0,0.006060606060606061,0.030303030303030297,0.006060606060606061,0.015151515151515152,0.0030303030303030303,0.012121212121212121,0.006060606060606061,0.0030303030303030303,0.012121212121212121,0.0,0.00909090909090909,0.0,0.0,0.0030303030303030303,0.0,0.0030303030303030303,0.0,0.006060606060606061,0.012121212121212121,0.00909090909090909,0.0030303030303030303,0.00909090909090909,0.0030303030303030303,0.006060606060606061,0.0030303030303030303,0.0,0.0,0.015151515151515152,0.0030303030303030303,0.0,0.012121212121212121,0.006060606060606061,0.0030303030303030303,0.00909090909090909,0.0,0.04242424242424241,0.01818181818181818,0.006060606060606061,0.0030303030303030303,0.0030303030303030303,0.00909090909090909,0.0030303030303030303,0.0030303030303030303,0.0,0.0030303030303030303,0.0,0.012121212121212121,0.006060606060606061,0.0,0.015151515151515152,0.0,0.006060606060606061,0.0,0.0,0.00909090909090909,0.006060606060606061,0.0,0.00909090909090909,0.012121212121212121,0.0030303030303030303,0.0030303030303030303,0.006060606060606061,0.015151515151515152,0.0030303030303030303,0.0,0.0,0.0030303030303030303,0.04545454545454544,0.006060606060606061,0.0030303030303030303,0.00909090909090909,0.0030303030303030303,0.0,0.006060606060606061,0.0,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.006060606060606061,0.01818181818181818,0.0,0.0030303030303030303,0.00909090909090909,0.0,0.0030303030303030303,0.006060606060606061,0.01818181818181818,0.039393939393939384,0.0030303030303030303,0.02121212121212121,0.0,0.0030303030303030303,0.006060606060606061,0.0030303030303030303
opel_corsa,0.03107344632768362,0.00847457627118644,0.005649717514124294,0.002824858757062147,0.005649717514124294,0.0,0.01694915254237288,0.005649717514124294,0.005649717514124294,0.00847457627118644,0.005649717514124294,0.002824858757062147,0.011299435028248588,0.014124293785310734,0.0,0.0,0.01694915254237288,0.005649717514124294,0.00847457627118644,0.011299435028248588,0.0,0.0,0.002824858757062147,0.002824858757062147,0.0,0.005649717514124294,0.0,0.01694915254237288,0.011299435028248588,0.011299435028248588,0.002824858757062147,0.011299435028248588,0.014124293785310734,0.022598870056497175,0.002824858757062147,0.0,0.002824858757062147,0.0,0.005649717514124294,0.0,0.0,0.005649717514124294,0.0,0.011299435028248588,0.005649717514124294,0.0,0.002824858757062147,0.011299435028248588,0.005649717514124294,0.005649717514124294,0.00847457627118644,0.00847457627118644,0.005649717514124294,0.00847457627118644,0.002824858757062147,0.0,0.002824858757062147,0.019774011299435026,0.00847457627118644,0.01694915254237288,0.005649717514124294,0.002824858757062147,0.0,0.0,0.0,0.0,0.011299435028248588,0.0,0.002824858757062147,0.0,0.00847457627118644,0.00847457627118644,0.0,0.011299435028248588,0.014124293785310734,0.005649717514124294,0.005649717514124294,0.01694915254237288,0.002824858757062147,0.011299435028248588,0.0,0.0,0.0,0.022598870056497175,0.002824858757062147,0.002824858757062147,0.01694915254237288,0.002824858757062147,0.00847457627118644,0.011299435028248588,0.00847457627118644,0.025423728813559324,0.002824858757062147,0.002824858757062147,0.0,0.005649717514124294,0.0,0.002824858757062147,0.0,0.00847457627118644,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.005649717514124294,0.0,0.00847457627118644,0.00847457627118644,0.0,0.005649717514124294,0.014124293785310734,0.005649717514124294,0.002824858757062147,0.005649717514124294,0.00847457627118644,0.002824858757062147,0.0,0.0,0.03107344632768362,0.002824858757062147,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.019774011299435026,0.0,0.011299435028248588,0.005649717514124294,0.0,0.0,0.0,0.0,0.011299435028248588,0.005649717514124294,0.0,0.005649717514124294,0.019774011299435026,0.0,0.0,0.002824858757062147,0.0,0.0,0.00847457627118644,0.022598870056497175,0.09604519774011304,0.002824858757062147,0.00847457627118644,0.0,0.002824858757062147,0.005649717514124294,0.0
opel_corsa,0.03503184713375796,0.0031847133757961785,0.006369426751592357,0.0,0.0031847133757961785,0.0,0.0031847133757961785,0.012738853503184714,0.009554140127388536,0.0,0.009554140127388536,0.0,0.022292993630573247,0.022292993630573247,0.0,0.006369426751592357,0.01592356687898089,0.0,0.0031847133757961785,0.006369426751592357,0.0,0.0031847133757961785,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.0,0.012738853503184714,0.0031847133757961785,0.0,0.0,0.0031847133757961785,0.012738853503184714,0.01910828025477707,0.009554140127388536,0.0031847133757961785,0.006369426751592357,0.012738853503184714,0.006369426751592357,0.0031847133757961785,0.0031847133757961785,0.0,0.006369426751592357,0.0,0.01910828025477707,0.0031847133757961785,0.006369426751592357,0.0,0.01592356687898089,0.0031847133757961785,0.0,0.0031847133757961785,0.012738853503184714,0.0031847133757961785,0.009554140127388536,0.006369426751592357,0.0,0.006369426751592357,0.028662420382165602,0.0031847133757961785,0.009554140127388536,0.01910828025477707,0.0031847133757961785,0.0031847133757961785,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.012738853503184714,0.006369426751592357,0.0031847133757961785,0.0,0.006369426751592357,0.0031847133757961785,0.0,0.0031847133757961785,0.0,0.006369426751592357,0.0031847133757961785,0.006369426751592357,0.0031847133757961785,0.0031847133757961785,0.0,0.0,0.0031847133757961785,0.009554140127388536,0.006369426751592357,0.0,0.0031847133757961785,0.009554140127388536,0.0031847133757961785,0.009554140127388536,0.0031847133757961785,0.0031847133757961785,0.01592356687898089,0.006369426751592357,0.0031847133757961785,0.0031847133757961785,0.0,0.0031847133757961785,0.0031847133757961785,0.009554140127388536,0.006369426751592357,0.0031847133757961785,0.0,0.01592356687898089,0.009554140127388536,0.0031847133757961785,0.009554140127388536,0.006369426751592357,0.0031847133757961785,0.0,0.0031847133757961785,0.012738853503184714,0.0031847133757961785,0.009554140127388536,0.0031847133757961785,0.0031847133757961785,0.0031847133757961785,0.0,0.05414012738853503,0.0031847133757961785,0.0031847133757961785,0.006369426751592357,0.006369426751592357,0.03503184713375796,0.0031847133757961785,0.006369426751592357,0.0031847133757961785,0.0031847133757961785,0.0,0.009554140127388536,0.0031847133757961785,0.012738853503184714,0.022292993630573247,0.0031847133757961785,0.012738853503184714,0.006369426751592357,0.0,0.0031847133757961785,0.0031847133757961785,0.0,0.0,0.01592356687898089,0.01910828025477707,0.041401273885350316,0.0,0.006369426751592357,0.0,0.0031847133757961785,0.006369426751592357,0.0
opel_corsa,0.047244094488188976,0.0026246719160104987,0.013123359580052493,0.007874015748031496,0.0026246719160104987,0.0026246719160104987,0.05774278215223097,0.013123359580052493,0.010498687664041995,0.0026246719160104987,0.0,0.0026246719160104987,0.005249343832020997,0.01837270341207349,0.0026246719160104987,0.0026246719160104987,0.015748031496062992,0.0,0.0026246719160104987,0.0,0.0026246719160104987,0.0026246719160104987,0.005249343832020997,0.0026246719160104987,0.0,0.0026246719160104987,0.0,0.005249343832020997,0.026246719160104987,0.007874015748031496,0.0026246719160104987,0.03412073490813648,0.013123359580052493,0.01837270341207349,0.0026246719160104987,0.013123359580052493,0.005249343832020997,0.0026246719160104987,0.0,0.0026246719160104987,0.0026246719160104987,0.010498687664041995,0.0,0.0,0.0026246719160104987,0.0,0.005249343832020997,0.015748031496062992,0.01837270341207349,0.0026246719160104987,0.005249343832020997,0.010498687664041995,0.0,0.0,0.0,0.0,0.0,0.03937007874015748,0.0,0.007874015748031496,0.015748031496062992,0.013123359580052493,0.0026246719160104987,0.0026246719160104987,0.005249343832020997,0.0,0.005249343832020997,0.005249343832020997,0.0026246719160104987,0.0,0.0,0.010498687664041995,0.0,0.0,0.007874015748031496,0.005249343832020997,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.0026246719160104987,0.005249343832020997,0.005249343832020997,0.010498687664041995,0.0,0.005249343832020997,0.007874015748031496,0.007874015748031496,0.0026246719160104987,0.013123359580052493,0.0,0.007874015748031496,0.010498687664041995,0.013123359580052493,0.005249343832020997,0.007874015748031496,0.0,0.0,0.0026246719160104987,0.005249343832020997,0.005249343832020997,0.0026246719160104987,0.0026246719160104987,0.007874015748031496,0.0026246719160104987,0.0,0.0026246719160104987,0.007874015748031496,0.0,0.0,0.0026246719160104987,0.005249343832020997,0.0,0.02099737532808399,0.0026246719160104987,0.005249343832020997,0.0,0.0,0.03674540682414698,0.0026246719160104987,0.007874015748031496,0.015748031496062992,0.0026246719160104987,0.023622047244094488,0.015748031496062992,0.005249343832020997,0.007874015748031496,0.0,0.0,0.0026246719160104987,0.0,0.010498687664041995,0.0,0.0,0.0026246719160104987,0.013123359580052493,0.0,0.0,0.007874015748031496,0.0,0.0,0.010498687664041995,0.007874015748031496,0.04461942257217848,0.0,0.007874015748031496,0.0026246719160104987,0.0026246719160104987,0.0,0.0
porsche_911,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.009259259259259259,0.0,0.018518518518518517,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.018518518518518517,0.009259259259259259,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.07407407407407407,0.018518518518518517,0.0,0.0,0.07407407407407407,0.0,0.009259259259259259,0.046296296296296294,0.0,0.0,0.009259259259259259,0.0,0.009259259259259259,0.018518518518518517,0.009259259259259259,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.009259259259259259,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.018518518518518517,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.009259259259259259,0.018518518518518517,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.027777777777777776,0.037037037037037035,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.009259259259259259,0.018518518518518517,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.037037037037037035,0.0,0.027777777777777776,0.0,0.009259259259259259,0.0,0.0
